"Record ID","Record date","Record time",Species,Lifestage,Sex,Quantity,County,"Nearest town/City","Grid ref","Verification state"
67534,2024-11-15,15:15:00,"Common lizard",Adult,unknown,1,Angus,Kirriemuir,NO35,
67301,2024-10-17,09:30:00,"Unknown frog or toad",Dead,unknown,1,"Perth and Kinross",Moulin,NN95,
67243,2024-06-24,14:00:00,"Common lizard",unknown,unknown,1,"Scottish Borders",Hawick,NT50,
67242,2024-10-06,,"Smooth newt",Adult,unknown,1,"Scottish Borders",Hawick,NT50,
67199,2024-06-21,,"Common frog",Adult,unknown,1,Stirling,Lochearnhead,NN51,
67198,2024-06-21,,"Common frog",Adult,unknown,1,Stirling,Lochearnhead,NN51,
67194,2024-06-15,10:26:00,"Common frog",Young,unknown,1,Stirling,,NN51,
67185,2024-05-17,,"Common lizard",Adult,unknown,1,Stirling,Lochearnhead,NN51,
67132,2024-10-16,00:00:24,"Smooth newt",Young,unknown,1,"Argyll and Bute",Aros,NM54,
67112,2024-09-25,15:11:00,Adder,Adult,male,2,Stirling,Stirling,NN40,
67054,2024-10-08,23:11:00,"Common lizard",unknown,unknown,1,"Scottish Borders",Selkirk,NT42,
67042,2024-10-07,19:30:00,"Common lizard",Adult,male,1,"East Dunbartonshire","Milton of Campsie",NS67,
66998,2024-10-04,16:20:00,"Palmate newt",Young,unknown,5,"Argyll and Bute",,NN24,
66982,2024-09-21,17:08:00,Slow-worm,Adult,female,1,"Argyll and Bute",,NM93,"Considered Correct"
66970,2024-09-20,,"Unknown snake",unknown,unknown,1,"South Ayrshire","Hallrig Heights",NS42,
66894,2024-09-19,11:56:00,"Common lizard",Dead,unknown,1,"Argyll and Bute","Isle of Iona",NM22,
66893,2024-09-05,17:39:00,"Common lizard",Adult,unknown,1,"Argyll and Bute","Isle of Gigha",NR64,
66820,2024-09-24,14:00:00,"Unknown newt",unknown,unknown,15,"Glasgow City",Hamiltonhill,NS56,
66815,2024-09-23,23:50:00,"Unknown newt",unknown,unknown,1,"South Lanarkshire",Lanark,NS74,
66754,2024-09-21,16:50:00,"Smooth newt",unknown,unknown,1,"Perth and Kinross",Perth,NO22,
66713,2024-09-20,15:15:00,"Common frog",Adult,unknown,1,Falkirk,Woodlands,NS87,
66712,2024-09-19,13:40:00,Adder,Young,unknown,1,"Argyll and Bute",,NR44,
66710,2024-09-20,08:48:00,"Common lizard",Adult,unknown,1,"Perth and Kinross",,NN75,
66695,2024-09-20,12:30:00,"Unknown lizard",Adult,unknown,2,Aberdeenshire,Fyvie,NJ73,
66640,2024-09-18,12:30:00,"Common lizard",Adult,unknown,1,Stirling,Stirling,NS59,
66631,2024-09-18,07:14:00,"Common lizard",Adult,unknown,1,"South Lanarkshire",Machan,NS75,
66620,2024-09-16,21:30:00,"Common toad",Adult,unknown,1,"Dundee City",Brackens,NO33,
66587,2024-09-16,12:35:00,"Unknown lizard",unknown,unknown,1,"North Ayrshire",,NR93,
66586,2024-09-16,12:35:00,Adder,unknown,unknown,1,"North Ayrshire",,NR93,
66550,2024-09-14,20:04:00,"Unknown newt",Young,unknown,1,"North Ayrshire",Kilwinning,NS34,
66517,2024-07-30,14:00:00,"Common lizard",Young,unknown,1,"City Of Edinburgh",,NT16,
66516,2024-07-17,13:39:00,"Common lizard",Adult,unknown,1,"East Lothian",,NT56,
66506,2024-08-31,16:33:00,"Unknown lizard",unknown,unknown,1,Angus,Brechin,NO48,
66457,2024-09-09,15:00:00,"Unknown newt",unknown,unknown,1,Aberdeenshire,Banchory,NO89,
66451,2024-08-11,17:00:00,Adder,Adult,unknown,1,"Dumfries and Galloway","Newton Stewart",NX48,
66448,2024-09-07,09:18:00,"Natterjack toad",Adult,unknown,1,"West Lothian",Linlithgow,NT07,
66406,2024-09-07,22:05:00,"Unknown frog or toad",unknown,unknown,1,"Dumfries and Galloway",Lockerbie,NY18,
66389,2024-09-06,15:19:00,"Common toad",Adult,male,1,"Dumfries and Galloway",Lockerbie,NY17,
66388,2024-09-06,16:30:00,"Common toad",Adult,unknown,1,"West Dunbartonshire",Braehead,NS47,
66383,2024-09-06,01:00:00,"Common lizard",Adult,unknown,1,"Perth and Kinross",Kinross,NT19,
66382,2024-09-06,01:00:00,"Common lizard",Adult,unknown,1,"Perth and Kinross",Kinross,NT19,
66363,2024-09-04,11:30:00,"Common frog",unknown,unknown,3,Fife,"St Andrews",NO41,
66329,2024-08-25,15:21:00,"Alpine newt",unknown,unknown,1,"City Of Edinburgh",Firrhill,NT27,
66321,2024-08-27,,"Common toad",Young,unknown,1,"North Ayrshire",Meadowfoot,NS24,
66313,2024-09-02,19:10:00,"Smooth newt",Young,unknown,1,"City Of Edinburgh",Merchiston,NT27,
66281,2024-08-31,16:15:00,"Common lizard",Young,unknown,1,Stirling,,NS57,
66279,2024-09-01,00:00:00,"Unknown newt",Young,unknown,1,"East Lothian","North Berwick",NT58,
66261,2024-08-30,15:40:00,"Unknown newt",unknown,unknown,1,"Perth and Kinross",Perth,NO11,
66259,2024-08-26,11:22:00,"Common lizard",Adult,unknown,1,Moray,Elgin,NJ16,
66248,2024-08-29,12:14:00,"Common lizard",Young,unknown,1,"Aberdeen City",Milltimber,NJ80,
66228,2024-08-26,,"Common frog",Young,unknown,1,"Dundee City","West Ferry",NO43,
66219,2024-08-28,12:30:00,"Common lizard",unknown,unknown,1,"Scottish Borders",,NT33,
66128,2024-08-22,14:15:00,Adder,Adult,unknown,1,Aberdeenshire,,NO09,
66125,2024-08-20,00:30:00,"Common toad",Adult,unknown,1,Fife,Cupar,NO32,
66107,2024-08-14,11:41:00,Adder,Adult,male,1,Aberdeenshire,,NO68,
66099,2024-08-19,20:00:00,"Smooth newt",Young,unknown,1,"Glasgow City",Netherton,NS56,
66080,2024-08-18,16:40:00,"Palmate newt",Young,unknown,1,"Dumfries and Galloway",Summerpark,NX97,
66028,2024-08-11,11:34:00,"Great crested newt",Adult,unknown,1,"Argyll and Bute",,NM84,
66027,2024-08-16,12:45:00,"Unknown lizard",unknown,unknown,1,"City Of Edinburgh",Warriston,NT27,
66026,2024-08-16,12:45:00,"Unknown lizard",unknown,unknown,1,"City Of Edinburgh",Warriston,NT27,
66024,2024-08-13,09:40:00,"Common frog",Adult,unknown,6,"City Of Edinburgh",Lochend,NT27,
65989,2024-08-10,12:00:00,"Common toad",Young,unknown,10,"Perth and Kinross",Blairgowrie,NO25,
65988,2024-08-10,12:00:00,"Common frog",Young,unknown,1,"Perth and Kinross",Blairgowrie,NO25,
65983,2024-08-10,14:35:00,Adder,unknown,unknown,1,Aberdeenshire,,NO68,
65982,2024-08-04,12:52:00,Adder,unknown,unknown,1,Aberdeenshire,,NO68,
65972,2024-08-11,16:45:00,"Common lizard",Adult,unknown,1,"Perth and Kinross",Pitlochry,NN75,
65957,2024-08-11,14:00:00,Adder,unknown,unknown,1,"Dumfries and Galloway","Castle Douglas",NX56,
65955,2024-08-11,14:00:00,"Common lizard",Adult,unknown,1,"Dumfries and Galloway","Castle Douglas",NX56,
65950,2024-08-11,11:30:00,"Sand lizard",Adult,male,1,Aberdeenshire,Aboyne,NJ40,
65948,2024-08-10,12:06:00,"Unknown newt",Adult,unknown,2,Clackmannanshire,Dollar,NS99,
65928,2024-08-08,22:10:00,"Sand lizard",Young,unknown,"Qty unknown","South Lanarkshire",Glasgow,NS66,
65921,2024-08-07,16:00:00,"Common frog",Adult,male,1,Aberdeenshire,Fraserburgh,NJ86,
65908,2024-08-03,,"Smooth newt",Young,unknown,2,Fife,Cupar,NO32,
65892,2024-07-30,,"Common frog",Young,unknown,1,Fife,Cupar,NO32,
65891,2024-07-29,,"Smooth newt",Young,unknown,1,Fife,Cupar,NO32,
65890,2024-07-26,,"Common toad",Adult,unknown,1,Fife,Cupar,NO32,
65889,2024-07-29,,"Common frog",Young,unknown,2,Fife,Cupar,NO32,
65872,2024-08-06,11:30:00,Adder,Sloughs,unknown,1,"Dumfries and Galloway","Newton Stewart",NX34,
65871,2024-08-04,,Adder,Adult,female,3,"Dumfries and Galloway","Newton Stewart",NX34,
65863,2024-08-05,16:15:00,Adder,Adult,unknown,5,"Argyll and Bute",,NM45,
65860,2024-08-03,15:29:00,"Common lizard",unknown,unknown,1,Aberdeenshire,Bainshole,NJ53,"Considered Correct"
65859,2024-08-05,10:00:00,"Common toad",Adult,male,1,Aberdeenshire,Fraserburgh,NJ86,"Considered Correct"
65838,2024-06-29,13:30:00,Adder,Adult,male,1,"Perth and Kinross",Pitlochry,NN76,
65837,2024-05-11,16:45:00,Adder,Adult,male,1,Aberdeenshire,,NN98,"Considered Correct"
65835,2024-05-11,15:40:00,Adder,Adult,female,1,Aberdeenshire,,NO08,"Considered Correct"
65816,2024-08-03,11:30:00,"Common frog",unknown,unknown,1,"South Ayrshire",Girvan,NX29,
65813,2024-07-31,12:30:00,"Common lizard",unknown,unknown,1,"South Lanarkshire",Lanark,NT04,
65808,2024-07-31,13:08:00,"Common toad",unknown,unknown,1,Stirling,,NS79,
65797,2024-08-01,22:50:00,"Common toad",Young,unknown,1,"Glasgow City","South Cardonald",NS56,
65788,2024-07-28,10:26:00,"Common lizard",unknown,unknown,1,"Dumfries and Galloway",Dalbeattie,NX86,
65782,2024-07-27,14:00:00,"Common frog",Young,unknown,1,Stirling,Doune,NN70,
65780,2024-07-31,13:15:00,"Common lizard",unknown,unknown,1,Aberdeenshire,Stonehaven,NO88,"Considered Correct"
65777,2024-07-31,12:00:00,Adder,Young,unknown,1,Aberdeenshire,Brechin,NO48,"Considered Correct"
65765,2024-07-31,12:50:00,"Unknown newt",Young,unknown,1,Stirling,Glasgow,NS49,
65764,2024-07-31,12:50:00,"Unknown newt",Young,unknown,1,Stirling,Glasgow,NS49,
65747,2024-05-25,16:05:00,"Common toad",Adult,unknown,1,"Scottish Borders",Hawick,NT51,
65746,2024-07-20,14:54:00,"Common toad",Young,unknown,1,"Scottish Borders",Hawick,NT51,
65743,2024-07-25,20:30:00,"Common lizard",Adult,unknown,1,"Scottish Borders",Hawick,NT51,
65735,2024-06-23,13:10:00,"Common lizard",Adult,unknown,1,Moray,Craigellachie,NJ24,
65734,2024-07-29,13:45:00,Adder,unknown,unknown,1,Moray,Craigellachie,NJ24,
65729,2024-07-29,14:15:00,"Common lizard",unknown,unknown,3,Fife,Dunfermline,NT18,
65720,2024-07-28,11:00:00,"Common toad",Adult,unknown,1,"Scottish Borders",,NT66,
65718,2024-07-28,16:00:00,"Great crested newt",Young,unknown,3,"South Lanarkshire",,NS95,
65712,2024-07-28,11:37:00,"Common toad",Adult,unknown,1,"South Ayrshire",Maybole,NS30,
65691,2024-07-23,15:30:00,"Sand lizard",Adult,male,1,"Argyll and Bute",Tarbert,NR84,
65689,2024-07-24,13:00:00,"Common lizard",Young,unknown,1,"East Ayrshire",Kilmarnock,NS44,
65688,2024-07-27,18:40:00,"Palmate newt",unknown,unknown,1,Aberdeenshire,Inverurie,NJ72,"Considered Correct"
65677,2024-07-23,16:15:00,"Common lizard",Adult,unknown,1,Stirling,,NS69,
65676,2024-07-23,14:49:00,Adder,Adult,unknown,1,Stirling,,NS69,
65670,2024-07-21,13:00:00,Adder,Young,unknown,1,Aberdeenshire,,NO09,"Considered Correct"
65668,2024-07-26,13:30:00,"Common lizard",Adult,unknown,1,Aberdeenshire,,NJ86,"Considered Correct"
65667,2024-07-25,23:00:00,"Palmate newt",Adult,male,1,Moray,Elgin,NJ26,
65664,2024-07-26,12:45:00,"Common lizard",unknown,unknown,1,Aberdeenshire,Schoolhill,NJ70,"Considered Correct"
65661,2024-07-26,11:33:00,Adder,Adult,female,1,Aberdeenshire,Ballater,NO39,"Considered Correct"
65657,2024-07-25,20:35:00,"Smooth newt",Young,unknown,1,"Scottish Borders",Coldstream,NT84,
65646,2024-07-23,20:30:00,"Common frog",Tadpoles,unknown,"Qty unknown","Dundee City",Dundee,NO43,
