Record ID,Record date,Record time,Species,Lifestage,Sex,Quantity,County,Nearest town/City,Grid ref,Verification state,Latitude,Longitude
67534,2024-11-15,15:15:00,Common lizard,Adult,unknown,1,Angus,Kirriemuir,NO35,,56.636577668652315,-3.1429326206207016
67301,2024-10-17,09:30:00,Unknown frog or toad,Dead,unknown,1,Perth and Kinross,Moulin,NN95,,56.62888389266282,-3.7951070800556357
67243,2024-06-24,14:00:00,Common lizard,unknown,unknown,1,Scottish Borders,Hawick,NT50,,55.29156708112851,-2.7889254146970166
67242,2024-10-06,,Smooth newt,Adult,unknown,1,Scottish Borders,Hawick,NT50,,55.29156708112851,-2.7889254146970166
67199,2024-06-21,,Common frog,Adult,unknown,1,Stirling,Lochearnhead,NN51,,56.25874283963637,-4.424264454255059
67198,2024-06-21,,Common frog,Adult,unknown,1,Stirling,Lochearnhead,NN51,,56.25874283963637,-4.424264454255059
67194,2024-06-15,10:26:00,Common frog,Young,unknown,1,Stirling,,NN51,,56.25874283963637,-4.424264454255059
67185,2024-05-17,,Common lizard,Adult,unknown,1,Stirling,Lochearnhead,NN51,,56.25874283963637,-4.424264454255059
67132,2024-10-16,00:00:24,Smooth newt,Young,unknown,1,Argyll and Bute,Aros,NM54,,56.48552412586428,-6.067921489202054
67112,2024-09-25,15:11:00,Adder,Adult,male,2,Stirling,Stirling,NN40,,56.16572647677208,-4.57972326564349
67054,2024-10-08,23:11:00,Common lizard,unknown,unknown,1,Scottish Borders,Selkirk,NT42,,55.47013545139198,-2.9507024449746346
67042,2024-10-07,19:30:00,Common lizard,Adult,male,1,East Dunbartonshire,Milton of Campsie,NS67,,55.902692018911104,-4.241773291900546
66998,2024-10-04,16:20:00,Palmate newt,Young,unknown,5,Argyll and Bute,,NN24,,56.51749566044845,-4.929418557649192
66982,2024-09-21,17:08:00,Slow-worm,Adult,female,1,Argyll and Bute,,NM93,Considered Correct,56.41538112656871,-5.409284696570153
66970,2024-09-20,,Unknown snake,unknown,unknown,1,South Ayrshire,Hallrig Heights,NS42,,55.44764432287293,-4.532570899069509
66894,2024-09-19,11:56:00,Common lizard,Dead,unknown,1,Argyll and Bute,Isle of Iona,NM22,,56.289536956780026,-6.534362109323509
66893,2024-09-05,17:39:00,Common lizard,Adult,unknown,1,Argyll and Bute,Isle of Gigha,NR64,,55.59429825692536,-5.815361769326241
66820,2024-09-24,14:00:00,Unknown newt,unknown,unknown,15,Glasgow City,Hamiltonhill,NS56,,55.809908738869886,-4.396241019451688
66815,2024-09-23,23:50:00,Unknown newt,unknown,unknown,1,South Lanarkshire,Lanark,NS74,,55.636124058077755,-4.0674366987870725
