C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Building_Density_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/DistWater_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/NOx_Stand_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/RGS_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Runoff_Coefficient_Standardised_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Slope_Proj_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/SoilMoisture_32bit_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Traffic_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Wood_Resample_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Grass_Stand.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_median.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_StDev.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/VegHeight.tif,label
1.0,0.94306505,0.89400184,0.98234665,0.64782095,0.9090156,0.21788192,0.8054102,0.9186873,0.44907188,0.79816985,0.30510384,0.15157665,0
1.0,0.9589782,0.9851548,0.7657787,0.76560664,0.6921333,0.4056747,0.96601814,1.0,0.34017476,0.90533584,0.36533135,0.6691887,0
0.9981793,0.9171916,0.7183416,0.966297,0.76560664,0.96330905,0.2150538,0.6255901,0.9973666,0.07548946,0.81103104,0.34023392,0.26632655,1
1.0,0.96791613,0.830425,0.88959754,0.58892816,0.9475164,0.17731154,0.69872236,0.9530197,0.38236126,0.65073353,0.36949107,0.119958326,0
1.0,0.95664287,0.9124347,0.98361295,0.64782095,0.8718055,0.5069796,0.81671643,0.9901885,0.7661228,0.8788326,0.2863659,0.2917884,0
0.99632335,0.9075314,0.8295103,0.9835693,0.76560664,0.9434023,0.31792897,0.6032287,1.0,0.3976215,0.83280456,0.43297017,0.4468054,1
1.0,0.9086529,0.9275888,0.9992026,0.76560664,0.97816646,0.25932384,0.9113149,1.0,0.11742802,0.7800363,0.34621343,0.21825759,1
1.0,0.98730177,0.98141336,0.6522314,0.76560664,0.9457434,0.39354497,0.96993643,1.0,0.5063075,0.7570129,0.38767633,0.33477956,1
1.0,0.8551501,0.9620101,0.3521406,0.58892816,0.9316625,0.2734754,0.914006,0.93184507,0.71479666,0.6266165,0.44808796,0.10406644,0
1.0,1.0,0.9911101,0.90154976,1.0,1.0,0.15932071,0.9649143,0.9243546,0.34403333,0.47366866,0.4456442,0.0,0
1.0,0.75743735,0.9707706,0.519868,0.8244994,0.8949468,0.28850263,0.9497938,0.99072057,0.77351636,0.7947124,0.29066324,0.25813144,0
1.0,0.9941889,0.95025986,0.9971793,0.64782095,0.97819346,0.22171044,0.9777265,0.9609815,0.15575956,0.7753737035912585,0.3178976925329506,0.15321805,0
1.0,0.9194088,0.9817233,0.97922885,0.64782095,0.8423703,0.61315036,0.9468388,0.9402807,0.5014361,0.7835113,0.29420292,0.18211626,1
1.0,0.9951635,0.8931342,0.9614682,0.64782095,0.9926293,0.13239652,0.66892505,0.97178173,0.44820786,0.7633733,0.3643985,0.14145194,1
1.0,0.7466711,0.97180045,0.9306885,0.058892846,0.8709029,0.7967391,0.950333,0.9953631,0.6549854,0.7119134,0.31143156,0.27153498,1
1.0,0.91582954,0.8422894,0.95935416,0.76560664,0.9010717,0.3202169,0.72626543,0.99873483,0.4138512,0.8324779,0.27907845,0.16458297,1
1.0,0.99044967,0.8954795,0.9587915,0.64782095,0.98275363,0.13224918,0.6720009,0.96010274,0.45128283,0.7530813,0.31794468,0.115435325,1
1.0,0.8323089,0.98948,0.27175236,0.8244994,0.56923056,0.37299597,0.96143353,0.89288855,0.4346901,0.814098,0.32347152,0.26016608,0
1.0,0.8479835,0.97654563,0.90342027,0.64782095,0.9447703,0.27354872,0.9010017,0.9750706,0.50294346,0.7850269,0.22566916,0.13008304,0
1.0,0.9445495,0.705896,0.8656388,0.64782095,0.9754976,0.45841897,0.71752024,0.9952097,0.36362118,0.7838511,0.29885653,0.26576778,1
1.0,0.95400995,0.90140575,0.80088824,0.64782095,0.92409015,0.43234313,0.67246616,0.99684423,0.25688735,0.78852826,0.33620828,0.20525126,1
1.0,0.9574041,0.6541309,0.94791913,1.0,0.80794597,0.23945981,0.43068147,0.9825649,0.07378007,0.63569593,0.21922779,0.04345864,1
1.0,0.8648825,0.97132754,0.7743152,0.76560664,0.5935625,0.37915194,0.951199,0.9986407,0.74304396,0.8536964,0.38542858,0.30712155,0
