C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Building_Density_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/DistWater_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/NOx_Stand_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/RGS_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Runoff_Coefficient_Standardised_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Slope_Proj_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/SoilMoisture_32bit_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Traffic_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Wood_Resample_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Grass_Stand.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_median.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_StDev.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/VegHeight.tif,label
1.0,0.8960474,0.9801578,0.99340904,0.64782095,0.9255592,0.4499789,0.9606294,0.9094103,0.44992426,0.7198499,0.33340278,0.122839935,0
1.0,0.71698755,0.95127213,0.9887911,0.64782095,0.8240146,0.24935883,0.91697186,0.9538983,0.44828826,0.85277414,0.30409795,0.15321805,0
1.0,0.96503866,0.9284195,0.99440706,0.64782095,0.92362106,0.48906487,0.87197334,0.98539734,0.6783058,0.7485574,0.38997972,0.14201066,1
1.0,0.9365919,0.9380367,0.98385894,0.5300354,0.97720003,0.32338607,0.8285713,0.89996046,0.5292205,0.76114595,0.25759953,0.10406644,0
1.0,0.56020117,0.97255015,0.8876624,0.58892816,0.844593,0.3946303,0.92628866,1.0,0.6222523,0.89331496,0.26593623,0.11419115,0
1.0,0.9317635,0.94734734,0.99957836,0.64782095,0.9880744,0.33417273,0.8845744,0.98985255,0.6702637,0.94684327,0.26301765,0.21226263,0
1.0,0.79596645,0.95693946,0.9748353,0.76560664,0.9478624,0.26629478,0.837055,1.0,0.49113292,0.92619467,0.47277102,0.37884146,0
1.0,0.85314083,0.94710714,0.9635695,0.64782095,0.89676756,0.0,0.9385628,0.9884709,0.62468445,0.77389514,0.2953146,0.14145194,0
1.0,0.6641944,0.99256617,0.99921584,0.76560664,0.64412856,0.14474517,0.96987754,0.6528636,0.48352632,0.7289011,0.31383413,0.18211626,0
1.0,0.56560075,0.9799559,0.9821655,0.8244994,0.5550989,0.3071413,0.9368895,0.7152606,0.8305327,0.8369951,0.2850161,0.21553749,0
1.0,0.93648267,0.9768208,0.9981226,0.5300354,0.9880164,0.42296368,0.97342575,0.9390192,0.5558852,0.73904955,0.24601123,0.08257284,0
0.9985812,0.4763227,0.9627745,0.43151748,0.76560664,0.69507176,0.31490296,0.95328647,1.0,0.78948814,0.8449014,0.3289658,0.64753366,0
1.0,1.0,0.94060856,0.9368731,1.0,0.9873312,0.49662644,0.89675987,0.99073946,0.7011418,0.47055468,0.43922323,0.0,1
1.0,1.0,0.9745673,0.9458021,1.0,0.9999731,0.13308614,0.9498918,0.94574153,0.321926,0.47481883,0.45061767,0.0,0
1.0,0.74874914,0.9908628,0.92691636,0.64782095,0.7012609,0.11306226,0.9824778,0.9367076,0.6757136,0.73783296,0.32524627,0.086698614,0
1.0,0.73990595,0.9855941,0.8112106,0.5300354,0.8222164,0.123745084,0.9767672,0.46641845,0.5780598,0.728654,0.24381205,0.20813288,0
1.0,0.87188524,0.8939402,0.85648096,0.64782095,0.98334765,0.5379071,0.8416501,0.99456036,0.6046485,0.7069083,0.42762348,0.17520015,0
1.0,0.993903,0.8915976,0.78912544,0.64782095,0.9360289,0.23335022,0.74836147,0.9919862,0.4136201,0.7619376,0.2729151,0.31744254,0
1.0,0.77441645,0.96091706,0.29331774,0.64782095,0.9572204,0.1976397,0.9508551,0.9922607,0.7089308,0.7826062,0.33009738,0.20501953,0
1.0,0.78292197,0.9428744,0.9723986,0.64782095,0.9662966,0.4001038,0.9021482,0.93033886,0.80468225,0.8709225,0.4174024,0.10406644,0
0.99830943,0.95925546,0.9107696,0.95457125,0.58892816,0.94780064,0.22235757,0.8529615,0.9810848,0.5958679,0.86226976,0.3030114,0.14597495,0
1.0,0.69987464,0.9831346,0.98423886,0.64782095,0.8453364,0.36625606,0.97430986,0.9874485,0.48594123,0.7557134,0.20436808,0.261965,0
1.0,0.9204715,0.9220511,0.96189344,0.58892816,0.94065464,0.20513618,0.8769328,0.97767574,0.22879413,0.6207533,0.4159832,0.0,0
1.0,0.9814026,0.8727177,0.99441016,0.76560664,0.8959537,0.13467854,0.6962952,0.99833965,0.33834708,0.7720226,0.27543947,0.25259995,0
1.0,0.7775011,0.97995514,0.9787943,0.5300354,0.97342336,0.42976147,0.9721061,0.9394375,0.45329615,0.7496175,0.1949798,0.11419115,0
1.0,0.60761553,0.94061035,0.9984517,0.64782095,0.7806778,0.3494581,0.9052998,0.9823751,0.7066751,0.6711639,0.15053207,0.17564659,0
1.0,0.92449754,0.9518366,0.87712544,0.64782095,0.99079686,0.36649966,0.94663167,0.82104576,0.49792692,0.7105209,0.3285619,0.101346344,0
0.99999493,0.63498574,0.973709,0.1974327,0.8244994,0.71025586,0.3707441,0.8684207,0.980032,0.36394382,0.78534985,0.3292944,0.16022544,0
1.0,0.87870383,0.97843117,0.45954627,0.64782095,0.90091336,0.40128875,0.9541021,0.84943235,0.7121412,0.781145,0.31001765,0.13008304,0
1.0,0.8646734,0.9659991,0.92153203,0.64782095,0.75874645,0.3131234,0.912455,0.82670987,0.7440392,0.76393914,0.2953295,0.31960392,0
0.98409104,0.99714875,0.8467522,0.9741578,0.058892846,0.9739227,0.54241145,0.8240988,0.97767675,0.13858506,0.5768779,0.054793,0.0,0
1.0,0.7848245,0.99198455,0.98525137,0.64782095,0.66196513,0.17001271,0.93872327,0.8532729,0.37252885,0.76007146,0.34967563,0.13296466,0
1.0,0.96290034,0.7774999,0.87241447,0.58892816,0.9544192,0.5944598,0.593987,0.9895038,0.30671698,0.59390277,0.39720327,0.12431586,0
1.0,0.8460544,0.88919544,0.7823307,0.58892816,0.9439155,0.41281527,0.7679777,0.9567005,0.341019,0.63695604,0.4065308,0.10406644,0
1.0,0.9282215,0.95468295,0.9840732,0.64782095,0.9964934,0.4372784,0.9539799,0.9682491,0.7000632,0.86106926,0.18558908,0.10406644,0
1.0,0.8999233,0.98682886,0.8211105,0.8244994,0.779366,0.36859995,0.9683461,0.7514703,0.559934,0.79114574,0.2709274,0.22962646,0
1.0,0.81420565,0.9910744,0.93227786,0.58892816,0.78949904,0.16327685,0.91785395,0.9934878,0.3455409,0.82082605,0.25114045,0.33749565,0
1.0,0.86461866,0.91396827,0.9500479,0.76560664,0.9652479,0.39441645,0.8916902,0.9950341,0.7862641,0.89980316,0.22577325,0.13460605,0
