C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Building_Density_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/DistWater_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/NOx_Stand_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/RGS_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Runoff_Coefficient_Standardised_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Slope_Proj_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/SoilMoisture_32bit_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Traffic_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Wood_Resample_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Grass_Stand.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_median.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_StDev.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/VegHeight.tif,label
1.0,0.9796445,0.9751079,0.9935151,0.58892816,0.91942036,0.42197502,0.9579808,0.95340395,0.5270721,0.95090497,0.55457616,0.64753366,0
0.83252203,0.96029055,0.7896322,0.9624507,0.058892846,0.964804,0.3170222,0.7012081,0.98396987,0.46976236,0.7028477,0.2036018,0.15146366,1
1.0,0.86461866,0.91396827,0.9500479,0.76560664,0.9652479,0.39441645,0.8916902,0.9950341,0.7862641,0.89980316,0.22577325,0.13460605,0
1.0,0.92788726,0.97720414,0.6484972,0.76560664,0.93251884,0.24538314,0.962788,1.0,0.84449214,0.84269917,0.24642342,0.5127306,1
0.863145,0.86958355,0.9445053,0.9548916,0.058892846,0.9497945,0.5284524,0.90817493,0.9971317,0.8217928,0.6922312,0.27691844,0.17475104,1
0.7717768,0.8861497,0.7311003,0.8911543,0.058892846,0.9576996,0.29807365,0.46429813,0.98322964,0.30759335,0.71694744,0.21311775,0.13425337,1
1.0,0.8087135,0.9969502,0.9836768,0.64782095,0.67980534,0.20418036,0.9888155,0.8121754,0.75209975,0.6779446,0.36466977,0.11887567,0
0.9980531,0.96287,0.78048754,0.9990741,0.058892846,0.9667622,0.26196808,0.6642252,0.9783744,0.05115369,0.7437559,0.22167832,0.15609966,1
0.9999906,0.9247537,0.8619045,0.8997003,0.76560664,0.92578584,0.35393387,0.75496614,0.99616534,0.4028063,0.7859278,0.30544233,0.26576778,1
1.0,0.69846785,0.94606,0.96273726,0.64782095,0.96782196,0.40147096,0.9041841,0.98474145,0.793321,0.87108326,0.22976393,0.13008304,0
0.99976456,0.9163277,0.86067104,0.9031416,0.58892816,0.97622,0.3527583,0.75762945,1.0,0.40380028,0.6272665,0.2579695,0.4386805,1
1.0,0.82761407,0.94209015,0.93141425,0.64782095,0.725841,0.24154723,0.8906376,0.9302696,0.16823858,0.78316545,0.2944631,0.18952087,1
0.99356663,0.97393703,0.881562,0.98224866,0.64782095,0.95209605,0.41055405,0.6497443,0.98982286,0.51478463,0.7745782,0.28618792,0.17374772,1
1.0,0.92849684,0.9575316,0.99891734,0.8244994,1.0,0.82103246,0.7791472682089551,0.98517144,0.45729262,0.746025823482143,0.3085484952440476,0.19084324,1
0.9644515,0.9780049,0.7275131,0.8906732,0.64782095,0.90957254,0.21372867,0.6123198,0.9794553,0.30877662,0.7971653,0.45033178,0.11887567,1
0.9998067,0.8243152,0.9904606,0.6827009,0.64782095,0.6519626,0.38503712,0.95783156,0.92224133,0.5611407,0.8076636,0.29228824,0.14201066,0
1.0,0.7639755,0.9613519,0.123678386,0.76560664,0.5105833,0.36909693,0.8982978,1.0,0.3559239,0.79505,0.36710966,0.28782013,0
0.829692,0.9227251,0.87342894,0.9724675,0.058892846,0.99330527,0.61946857,0.786516,0.9813574,0.49961177,0.66206187,0.25474745,0.15613906,1
0.9644515,0.9780049,0.7275131,0.8906732,0.64782095,0.90957254,0.21372867,0.6123198,0.9794553,0.30877662,0.7971653,0.45033178,0.11887567,1
1.0,0.9057543,0.9175229,0.915717,0.58892816,0.97302276,0.25932384,0.85223174,0.9893893,0.05383607,0.7544531,0.4201347,0.15881975,1
1.0,0.98392713,0.8622184,0.945416,0.64782095,0.9928489,0.16576463,0.79811573,0.933059,0.44521376,0.78473294,0.33754608,0.2907057,1
1.0,0.8877748,0.8759235,0.99590874,0.76560664,0.92168343,0.38555872,0.9198023,1.0,0.43540758,0.85399055,0.3509328,0.33805442,0
1.0,0.8274003,0.98444194,0.5479293,0.76560664,0.8555783,0.24392939,0.9472564,0.9979217,0.41499624,0.73007524,0.42800146,0.28834406,0
1.0,0.87056476,0.9750483,0.99518955,0.64782095,0.87446713,0.73057914,0.9541064,0.99042356,0.73149246,0.7055881,0.24508594,0.13008304,0
1.0,0.95358795,0.86056757,0.9968159,0.64782095,0.97406346,0.39841264,0.8206263,0.9903738,0.4889305,0.8470494,0.31052786,0.17651457,1
1.0,0.96465296,0.64022565,0.95303154,0.058892846,0.98535746,0.32373476,0.7246896,0.96146834,0.29959556,0.56411004,0.058335334,0.08253342,1
1.0,0.87566817,0.98616356,0.7042115,0.64782095,0.7771663,0.2800489,0.9769479,0.92738855,0.42115694,0.6418722,0.40951416,0.018773504,0
1.0,0.7156661,0.98233944,0.835092,0.64782095,0.6437588,0.2580797,0.9396112,0.9529438,0.76692027,0.7091418,0.36030835,0.09954342,0
1.0,0.8459429,0.9139747,0.7539378,0.76560664,0.9274096,0.20636135,0.88717914,1.0,0.24197498,0.83678293,0.32693794,0.5275753,1
1.0,0.9960686,0.9845025,0.6398717,0.76560664,0.8767721,0.26497585,0.9651368,1.0,0.16539188,0.77534634,0.38993677,0.2861827,1
0.9991668,0.9397514,0.74880993,0.9928199,0.64782095,0.94836634,0.25402862,0.6363154,0.9935233,0.044872537,0.80169505,0.28520027,0.19932257,1
1.0,0.8622104,0.9098728,0.74904966,0.58892816,0.9585791,0.21623546,0.8236919,0.9894446,0.25800654,0.6365957,0.31894597,0.040267102,1
0.97868997,0.9617411,0.8212962,0.8916762,0.64782095,0.97147804,0.7010163,0.6157748,0.9647609,0.28627372,0.7696439,0.3430177,0.13585024,1
1.0,0.97387284,0.94461054,0.9834268,0.76560664,0.9198361,0.48395216,0.9091925,1.0,0.7962997,0.78270835,0.3334611,0.17074738,1
0.9999988,0.85404867,0.9182324,0.97155976,0.76560664,0.9337964,0.2603727,0.88068885,0.99617803,0.5985822,0.7777925,0.33305454,0.23322833,0
1.0,0.8551001,0.9323201,0.97050136,0.58892816,0.9465776,0.35832047,0.89722127,0.9962401,0.7438255,0.7449752,0.30687022,0.097849526,0
1.0,0.71120864,0.96476513,0.99932003,0.76560664,0.9209526,0.41434693,0.92419744,0.99494576,0.65426844,0.8331268,0.31845066,0.12592246,0
0.829692,0.9227251,0.87342894,0.9724675,0.058892846,0.99330527,0.61946857,0.786516,0.9813574,0.49961177,0.66206187,0.25474745,0.15613906,1
0.8843615,0.9917841,0.82167757,0.9431805,0.76560664,0.9673679,0.12849271,0.7120497,0.99679863,0.36435428,0.70387083,0.37830254,0.3513135,1
1.0,0.82149345,0.96243876,0.52298915,0.64782095,0.8847226,0.2724223,0.9410523,0.9534584,0.6902106,0.86537796,0.365991,0.08545444,0
1.0,0.8622104,0.9098728,0.74904966,0.58892816,0.9585791,0.21623546,0.8236919,0.9894446,0.25800654,0.6365957,0.31894597,0.040267102,1
0.9972037,0.953828,0.6661883,0.9244675,0.058892846,0.8158008,0.2370311,0.35834324,0.9993572,0.09157576,0.8263981,0.38598236,0.4443695,1
1.0,0.9867866,0.984368,0.7368438,0.76560664,0.92593336,0.2921906,0.9637611,1.0,0.1550595,0.7403246,0.2918271,0.21553749,1
0.9998539,0.86734635,0.9017384,0.9608403,0.64782095,0.86677843,0.18599933,0.8146108,0.9939946,0.5718066,0.7633292,0.31610078,0.2643661,1
0.99398386,0.9323247,0.76125383,0.82589835,0.76560664,0.89065427,0.22168213,0.36534894,1.0,0.19257583,0.80519074,0.43420002,0.48963106,1
1.0,0.8106522,0.9901362,0.9330846,0.8244994,0.8167011,0.20195848,0.96494657,0.99172896,0.3740227,0.72928673,0.32183647,0.27193218,0
1.0,0.98513234,0.9368139,0.99470085,0.76560664,0.7896356,0.14796674,0.8830192,1.0,0.35290167,0.73204255,0.41579333,0.42295408,0
1.0,0.9360471,0.9523287,0.9227902,0.64782095,0.86104196,0.15321052,0.91200256,0.9843259,0.5225527,0.8539769,0.32606784,0.10406644,1
1.0,0.8408165,0.98316973,0.46334076,0.64782095,0.8340541,0.39576656,0.94312507,0.98936605,0.548614,0.8956752,0.3548475,0.15033247,0
1.0,0.97618294,0.98351264,0.9553888,0.76560664,0.86144716,0.62260103,0.95024765,1.0,0.5210086,0.83286387,0.31539997,0.4724287,1
1.0,0.9849347,0.66530657,0.95937556,0.64782095,0.9414089,0.27271426,0.38497096,0.9984623,0.27507588,0.7782712,0.5286245,0.36151642,0
1.0,0.92077965,0.68961644,0.9352764,0.58892816,0.98132664,0.24150985,0.55910873,0.9920228,0.21777906,0.8007503,0.29047686,0.28837886,0
1.0,0.80183095,0.9679738,0.36860806,0.76560664,0.8734131,0.22507697,0.95601726,1.0,0.6232581,0.95221007,0.33562174,0.45909542,0
1.0,0.7599186,0.97746253,0.74992347,0.76560664,0.97594506,0.44143075,0.9604914,1.0,0.4980747,0.7609893,0.3143891,0.37616014,1
0.99995565,0.9595398,0.9170104,0.9191756,0.76560664,0.8728183,0.1550718,0.86884594,1.0,0.38353324,0.8084015,0.44183517,0.49523273,1
0.99992716,0.9229867,0.86179286,0.8995159,0.64782095,0.94842476,0.35377067,0.7554815,0.9978291,0.40312526,0.77800715,0.32351097,0.30643213,1
1.0,0.49992192,0.95093405,0.84485996,0.64782095,0.94324404,0.41401726,0.97112143,0.9704957,0.4195029,0.7746464,0.29701436,0.13008304,0
0.8999337,0.95092803,0.94595534,0.9290089,0.058892846,0.95331067,0.14882958,0.9093371,0.99235535,0.5285808,0.70041674,0.19911225,0.11950066,1
1.0,0.93747526,0.9937342,0.9783588,0.8244994,0.7795634,0.1898945,0.96906936,0.801399,0.24961247,0.7799682,0.2554202,0.340936,0
1.0,0.8520345,0.973052,0.9888542,0.5300354,0.7003528,0.30746514,0.9481289,0.79417944,0.7469512,0.69939345,0.38848928,0.18211626,0
0.89575344,0.98636836,0.93164873,0.92899066,0.76560664,0.96089554,0.39613146,0.91249317,1.0,0.884056,0.7089127,0.28876123,0.39381617,1
0.9995564,0.96345973,0.86060625,0.9807449,0.76560664,0.9473459,0.33834845,0.73323214,1.0,0.44080496,0.74711114,0.36746788,0.280254,1
1.0,0.9905338,0.8826685,0.998729,0.5300354,0.98805517,0.35021192,0.79472196,0.97964185,0.4005392,0.71679634,0.29256672,0.22690636,0
0.9807121,0.8353354,0.8422383,0.9359929,0.058892846,0.93055433,0.12774783,0.70312494,0.9972817,0.39536145,0.73077357,0.3622404,0.39477214,1
1.0,0.84451294,0.9537441,0.9725604,0.5300354,0.9310045,0.22982353,0.9512457,0.8221954,0.3968212,0.7043379,0.29891843,0.15609966,0
1.0,0.9665382,0.93077135,0.94687456,0.64782095,0.8124022,0.21884555,0.865515,0.99327976,0.51107067,0.86032265,0.30625942,0.15337956,0
0.8590849,0.9894161,0.69786227,0.9499509,0.058892846,0.98093367,0.14398527,0.3222183,0.99644697,0.16733189,0.7745103,0.33794513,0.34049603,1
1.0,0.9616166,0.7570939,0.9063553,0.58892816,0.9563844,0.35132623,0.72546315,0.95989007,0.3599108,0.681711,0.3496586,0.17199154,1
1.0,0.6209704,0.94280094,0.80650854,0.64782095,0.9632113,0.3762458,0.9533831,0.9302734,0.34364638,0.68611366,0.34695402,0.081092946,0
1.0,0.8328604,0.9848144,0.95813537,0.64782095,0.7095479,0.33835888,0.9802994,0.4499274,0.7676956,0.7043019,0.38732007,0.03614132,0
1.0,0.810948,0.98158103,0.73680043,0.64782095,0.8318925,0.25155026,0.9533373,0.9432232,0.77354234,0.7601083,0.30366147,0.119958326,0
0.7484708,0.96537805,0.74861115,0.9593376,0.058892846,0.96569157,0.3060984,0.71271646,0.9572158,0.45040768,0.6317487,0.17541084,0.0,1
1.0,0.12589204,0.974588,0.3213852,0.64782095,0.77985597,0.31514615,0.9686655,0.9596813,0.7266912,0.78620696,0.31927156,0.13008304,0
1.0,0.9475761,0.9728788,0.9770924,0.5300354,0.8874912,0.4064113,0.98985404,0.84225607,0.5149357,0.66929746,0.31474444,0.18211626,0
0.99953437,0.9274303,0.92892253,0.76938397,0.58892816,0.9103385,0.64601624,0.87102634,0.97655725,0.47818056,0.68438905,0.44573718,0.10406644,0
1.0,0.76501656,0.9354067,0.90387625,0.64782095,0.9715964,0.2505169,0.89321804,0.994864,0.12628603,0.76783234,0.44252408,0.23375623,0
0.4911028,0.94791466,0.645452,0.96803284,0.058892846,0.83718705,0.24306446,0.49018806,0.9822555,0.055736657,0.68983376,0.28703478,0.16026483,1
