C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Building_Density_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/DistWater_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/NOx_Stand_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/RGS_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Runoff_Coefficient_Standardised_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Slope_Proj_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/SoilMoisture_32bit_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Traffic_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Wood_Resample_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Grass_Stand.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_median.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_StDev.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/VegHeight.tif
1.0,0.86442256,0.9713539,0.36481172,0.76560664,0.8744328,0.39401358,0.8717567,0.9978374,0.57614905,0.8010479,0.37837788,0.55936307
1.0,0.8697169,0.9632508,0.87986994,0.64782095,0.9669104,0.67450535,0.9316794,0.95790094,0.77816534,0.82692385,0.30838484,0.10406644
1.0,0.81236005,0.9775523,0.8893353,0.76560664,0.9870443,0.0939399,0.9500626,1.0,0.53834707,0.75636435,0.35717022,0.31056187
1.0,0.83136094,0.91706944,0.9934828,0.64782095,0.9602717,0.33701319,0.71132386,0.96998745,0.5540386,0.89845556,0.26946285,0.10406644
1.0,0.9122504,0.9828792,0.98560846,0.64782095,0.8942337,0.13590628,0.9419586,0.99524575,0.47156212,0.80492866,0.34386563,0.17362899
1.0,0.7651719,0.98827547,0.53860044,0.8244994,0.66302687,0.38952005,0.9492051,0.9834267,0.51748765,0.7743713,0.4148142,0.16622438
0.9994906,0.97069854,0.9369265,0.8901394,0.64782095,0.95232785,0.17809266,0.9322577,0.9732009,0.38247213,0.85412973,0.3845453,0.10406644
1.0,0.84339046,0.9510233,0.86073816,0.64782095,0.86184573,0.22719455,0.90220445,0.99575216,0.24569277,0.7205374,0.38347498,0.23698655
1.0,0.6556598,0.9692511,0.901458,0.76560664,0.79192483,0.22919822,0.97159445,1.0,0.60771304,0.78648806,0.3761424,0.5564735
1.0,0.98202,0.9859723,0.55809295,0.64782095,0.9173484,0.2590317,0.95745784,0.98734593,0.39968657,0.8106772,0.31529897,0.452608
1.0,0.7412807,0.95513785,0.9817898,0.64782095,0.8915173,0.24473017,0.92464375,0.99824476,0.6964463,0.77400464,0.2751137,0.6439278
0.99895686,0.8944343,0.9354386,0.71089137,0.58892816,0.97733384,0.47868043,0.91664106,0.9336915,0.22200683,0.66306955,0.3286123,0.1519699
1.0,0.8908448,0.9518521,0.84198076,0.76560664,0.9369956,0.23916388,0.9177339,1.0,0.21464792,0.813496,0.43153453,0.41626576
1.0,0.6934955,0.9774011,0.71384084,0.76560664,0.8704179,0.4422459,0.96401244,1.0,0.43754026,0.7742905,0.33875015,0.48006108
1.0,0.9214884,0.9848213,0.605018,0.58892816,0.9369173,0.31906724,0.9677516,1.0,0.25811008,0.84285927,0.37484133,0.30066893
1.0,0.9853946,0.95317525,0.97599816,0.76560664,0.8921793,0.79796857,0.97515714,0.9952892,0.5823387,0.81493145,0.31331137,0.22261909
1.0,0.9650657,0.9471848,0.98146003,0.64782095,0.9518995,0.22496909,0.91429394,0.9597149,0.36170825,0.7564495,0.2715932,0.17487316
1.0,0.71768594,0.9824641,0.9171899,0.64782095,0.93694615,0.26352686,0.9296524,0.9908869,0.776878,0.7134618,0.14452912,0.15642267
0.98867977,0.921104,0.78722525,0.9388834,0.76560664,0.96017456,0.38473392,0.55119646,0.9950985,0.44754747,0.7464176,0.31041345,0.21197505
1.0,0.9939515,0.9241898,0.89376605,0.058892846,0.9692954,0.666444,0.87688005,0.9780627,0.75311595,0.8398254,0.3523349,0.23142938
1.0,0.69648314,0.99101573,0.67472184,0.64782095,0.4955631,0.4202947,0.97173417,0.8075365,0.7628924,0.8347571,0.33838403,0.15609966
