C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Building_Density_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/DistWater_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/NOx_Stand_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/RGS_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Runoff_Coefficient_Standardised_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Slope_Proj_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/SoilMoisture_32bit_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Traffic_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Wood_Resample_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Grass_Stand.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_median.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_StDev.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/VegHeight.tif
0.7868031,0.94706005,0.6980028,0.87502867,0.058892846,0.95154035,0.2511412,0.75501716,0.9962484,0.4111683,0.5977094,0.256922,0.21632214
1.0,0.95134693,0.9511031,0.9110763,0.64782095,0.9387011,0.151339,0.9067273,0.9772544,0.5140359,0.8176562,0.30659163,0.15609966
0.62082607,0.8348354,0.6985508,0.8086165,0.058892846,0.92030764,0.22969067,0.37026894,0.9913052,0.20469217,0.7214707,0.27798474,0.18436491
0.9254361,0.9792362,0.84635746,0.94145167,0.76560664,0.91369003,0.12722886,0.72978806,1.0,0.38196322,0.73035866,0.35715893,0.43760183
0.99586284,0.9627425,0.9890131,0.9219044,0.76560664,0.7769824,0.12958175,0.9247214,1.0,0.2624668,0.78101134,0.3633344,0.30535343
0.9964952,0.92381847,0.88742554,0.7981988,0.76560664,0.9186139,0.23338115,0.8272087,1.0,0.4337999,0.7932576,0.35642648,0.37632164
0.99992746,0.97716993,0.952974,0.91392237,0.76560664,0.94728744,0.14767718,0.9090798,1.0,0.5122964,0.8177796,0.36146381,0.29847273
0.98149216,0.84108454,0.9249404,0.94721705,0.058892846,0.9022617,0.30402732,0.8942414,0.99394995,0.8532706,0.6780094,0.29442605,0.12696572
0.8594693,0.95597637,0.29714894,0.9088111,0.058892846,0.93549365,0.24049896,0.35862422,0.99597824,0.08055656,0.6894379,0.30452305,0.23539366
0.98136973,0.9482896,0.80169874,0.83596563,0.058892846,0.97327006,0.443959,0.63401556,0.965769,0.24080898,0.5890142,0.12488693,0.0
1.0,0.9972229,0.81411016,0.8123027,0.76560664,0.97888434,0.45841897,0.7291236,0.9981752,0.40106657,0.73452926,0.3297165,0.27061382
0.9999999,0.97716993,0.952974,0.91392237,0.76560664,0.94852716,0.14791042,0.90871125,1.0,0.51162636,0.8227143,0.3257806,0.32448936
1.0,0.953853,0.9711825,0.9834979,0.64782095,0.8428967,0.6465719,0.9659096,0.9674004,0.63602716,0.8593886,0.39111826,0.10406644
