C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Building_Density_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/DistWater_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/NOx_Stand_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/RGS_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Runoff_Coefficient_Standardised_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Slope_Proj_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/SoilMoisture_32bit_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Traffic_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Reversed/Wood_Resample_Reversed.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/Grass_Stand.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_median.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/NDVI_StDev.tif,C:/GIS_Course/MScThesis-MaviSantarelli/data/Predictors/Input/VegHeight.tif,label
1.0,0.9460174,0.62845683,0.9375016,0.0,0.56333053,0.23893219,0.38930315,0.9868855,0.07774822,0.7696499,0.20551479,0.26396886,1
1.0,0.88388133,0.99403155,0.9407596,0.76560664,0.62147784,0.14113265,0.94921577,1.0,0.04185827,0.7666736,0.4403713,0.5174506,1
0.9673963,0.9936427,0.68770665,0.9033914,0.76560664,0.9542577,0.36843783,0.7292047,0.9987616,0.33813196,0.8320319,0.38848576,0.4457227,1
0.88433135,0.96851987,0.7228805,0.90251034,0.058892846,0.9881338,0.3584414,0.7202662,0.99462575,0.35870025,0.7236059,0.31011507,0.3410975,1
0.9868225,0.92545605,0.735921,0.89222956,0.76560664,0.9815645,0.25214148,0.2249986,1.0,0.1650335,0.77535856,0.28163204,0.2901042,1
0.99166775,0.9623821,0.7119665,0.91611576,0.64782095,0.9582538,0.35866004,0.7223896,0.997846,0.3452456,0.85238457,0.37916368,0.18863912,1
0.99463737,0.94964993,0.94972587,0.9191399,0.76560664,0.963096,0.14934725,0.9102536,0.9974033,0.5189889,0.78350025,0.30181462,0.37927747,1
1.0,0.98101074,0.9296669,0.99293226,0.64782095,0.9837657,0.882531,0.9233884,0.9399696,0.6148037,0.81275296,0.30549607,0.14145194,1
0.99992746,0.97716993,0.952974,0.91392237,0.76560664,0.94728744,0.14767718,0.9090798,1.0,0.5122964,0.8177796,0.36146381,0.29847273,1
1.0,0.99898875,0.9177851,0.7199149,1.0,0.9082665,0.2532394,0.8653722,0.98556966,0.5067926,0.6870335,0.5270393,0.13454959,1
1.0,0.96236116,0.9587806,0.99037904,0.64782095,0.95037377,0.25267667,0.9278167,0.94037986,0.7035537,0.7873159,0.2713235,0.13008304,1
1.0,0.7825452,0.8809828,0.93300116,0.58892816,0.9372239,0.16646248,0.8116199,1.0,0.5360251,0.67677563,0.41054496,0.46377993,1
1.0,0.94593775,0.98305935,0.9137764,0.5300354,0.9953728,0.15309715,0.95385844,0.93216014,0.6066776,0.7168391,0.22163379,0.13732615,1
0.9998357,0.7626064,0.89010364,0.9261423,0.76560664,0.9459869,0.16302788,0.8141032,1.0,0.5258527,0.8134119,0.3540095,0.37864852,1
0.9932292,0.93672967,0.7113474,0.91751975,0.64782095,0.98230773,0.35574985,0.7210773,0.9978435,0.34792176,0.7767124,0.341581,0.37023145,1
0.9978498,0.7799609,0.9277852,0.96428174,0.058892846,0.9308922,0.2786355,0.905742,0.98092544,0.663313,0.6282056,0.18116286,0.09109094,1
1.0,0.9638536,0.9836268,0.92214507,0.5300354,0.9920991,0.1522348,0.9542452,0.9275107,0.5921833,0.71815157,0.23740913,0.12267843,1
0.99152976,0.9726262,0.9155689,0.99394625,0.76560664,0.98734987,0.20169878,0.8773515,0.99827677,0.1686217,0.6626287,0.3638658,0.14689213,1
0.99166775,0.9633528,0.7104484,0.9153947,0.64782095,0.9582538,0.35866004,0.7223896,0.997846,0.3452456,0.85238457,0.37916368,0.18863912,1
0.9854819,0.94557244,0.94866085,0.9267488,0.76560664,0.94837165,0.14977074,0.91019607,0.996318,0.52558154,0.79626,0.27413395,0.25423738,1
1.0,0.9567625,0.95194113,0.91011363,0.76560664,0.93914855,0.15081984,0.9064061,0.9936037,0.511752,0.790797,0.31454778,0.32556805,1
1.0,0.9853946,0.9824721,0.80724186,0.76560664,0.77177113,0.31661528,0.95099694,1.0,0.3331746,0.8131768,0.378935,0.44228235,1
0.9999999,0.97716993,0.952974,0.91392237,0.76560664,0.94852716,0.14791042,0.90871125,1.0,0.51162636,0.8227143,0.3257806,0.32448936,1
0.99999994,0.85391533,0.9455105,0.87741446,0.58892816,0.9688712,0.1457398,0.8533039,0.96425974,0.48497623,0.60194767,0.4624238,0.12267843,1
0.97829866,0.9604595,0.71979725,0.87978035,0.64782095,0.9617978,0.25574088,0.756995,0.99773496,0.41021734,0.73685706,0.39213192,0.28330112,1
1.0,0.8696452,0.94753313,0.87473035,0.58892816,0.949278,0.14682561,0.86046773,0.9550205,0.48764247,0.6526317,0.4675659,0.10406644,1
1.0,0.9672209,0.9806793,0.60316706,0.64782095,0.97347885,0.40576565,0.9727897,0.9973691,0.5722563,0.71727896,0.30026847,0.21233286,1
0.97198874,0.85975134,0.9468327,0.8843303,0.64782095,0.9052526,0.15432113,0.8622167,0.98103297,0.5027401,0.85780174,0.24837747,0.15157665,1
0.9754839,0.9423868,0.6301865,0.8851811,0.64782095,0.9891311,0.20550358,0.4245128,0.9913407,0.2090928,0.75605893,0.34278145,0.22238337,1
1.0,0.9307866,0.9852146,0.63030696,0.76560664,0.9937016,0.31832218,0.94096965,1.0,0.31428713,0.76202816,0.4273223,0.3512262,1
0.7868031,0.94706005,0.6980028,0.87502867,0.058892846,0.95154035,0.2511412,0.75501716,0.9962484,0.4111683,0.5977094,0.256922,0.21632214,1
1.0,0.92610145,0.8595094,0.9615589,0.58892816,0.9151411,0.2654057,0.8764517,0.9656711,0.18508866,0.7393183,0.3675393,0.13008304,1
1.0,0.8995674,0.93751156,0.9952346,0.58892816,0.86201847,0.20825815,0.83410525,1.0,0.6390425,0.8101323,0.35750774,0.3208481,1
1.0,0.8468286,0.94517696,0.88892376,0.58892816,0.98355764,0.15908784,0.8641155,0.97182333,0.5137408,0.6216522,0.32816067,0.13008304,1
1.0,0.95134693,0.9511031,0.9110763,0.64782095,0.9387011,0.151339,0.9067273,0.9772544,0.5140359,0.8176562,0.30659163,0.15609966,1
0.99992746,0.97716993,0.952974,0.91392237,0.76560664,0.94728744,0.14767718,0.9090798,1.0,0.5122964,0.8177796,0.36146381,0.29847273,1
0.9725869,0.85758835,0.9467451,0.8850651,0.64782095,0.89326245,0.15450758,0.8615805,0.9758298,0.50308704,0.8493064,0.22071177,0.15321805,1
1.0,0.96746993,0.8754125,0.9651309,0.76560664,0.9683903,0.78489447,0.83983076,1.0,0.54485345,0.8260782,0.38718984,0.3539423,1
0.97198874,0.85975134,0.9468327,0.8843303,0.64782095,0.9052526,0.15432113,0.8622167,0.98103297,0.5027401,0.85780174,0.24837747,0.15157665,1
0.9999782,0.99430466,0.70712936,0.98142606,0.76560664,0.99496686,0.25752902,0.56613314,0.9993009,0.2606442,0.7617527,0.3376621,0.32396543,1
1.0,0.9917374,0.8905493,0.9319283,0.76560664,0.9608287,0.264759,0.88344985,1.0,0.25935632,0.8121812,0.38367122,0.3495848,1
0.9999999,0.97716993,0.952974,0.91392237,0.76560664,0.94852716,0.14791042,0.90871125,1.0,0.51162636,0.8227143,0.3257806,0.32448936,1
0.9960727,0.8295841,0.9419629,0.8942625,0.64782095,0.9155718,0.15637219,0.8515225,0.9568958,0.50662106,0.8376528,0.22787765,0.12736295,1
1.0,0.85052836,0.94789755,0.8851026,0.76560664,0.9638835,0.15183735,0.85638523,0.9951624,0.4957621,0.74659634,0.39738792,0.2630517,1
0.99993515,0.8566503,0.9083166,0.74338454,0.58892816,0.7944449,0.29161805,0.8873324,0.965971,0.26835108,0.7740482,0.29181346,0.19207947,1
1.0,0.9494341,0.7345195,0.8835784,0.64782095,0.9630308,0.2600919,0.7605232,0.99845433,0.4122509,0.7490055,0.36885133,0.39585084,1
0.992549,0.99823415,0.94811356,0.9988319,0.58892816,0.9692938,0.23563677,0.7833177091501417,0.8515136,0.068067305,0.63512707,0.37031198,0.1261582,1
0.9996931,0.89735836,0.74086624,0.9342618,0.76560664,0.96799654,0.22143674,0.26275712,1.0,0.15238254,0.74085313,0.32983813,0.36727563,1
0.9725869,0.85758835,0.9467451,0.8850651,0.64782095,0.89326245,0.15450758,0.8615805,0.9758298,0.50308704,0.8493064,0.22071177,0.15321805,1
1.0,0.98265773,0.6378828,0.94979733,0.76560664,0.676268,0.24113959,0.4180181,0.9460863,0.061791584,0.78547215,0.29862142,0.10266075,1
0.98136973,0.9482896,0.80169874,0.83596563,0.058892846,0.97327006,0.443959,0.63401556,0.965769,0.24080898,0.5890142,0.12488693,0.0,1
1.0,0.8417588,0.9440105,0.89115864,0.58892816,0.9934001,0.1599229,0.86164254,0.95404315,0.5171952,0.5841977,0.4476,0.10406644,1
0.99999446,0.9338434,0.91914326,0.9783838,0.058892846,0.898314,0.21121997,0.9144815,0.9939946,0.41915187,0.68573684,0.23679371,0.36026824,1
0.8459709,0.98542196,0.81435066,0.94245845,0.76560664,0.98114157,0.12884945,0.70681256,0.9975607,0.35843992,0.61065125,0.18160522,0.23385544,1
0.9972037,0.95166284,0.66275966,0.9240691,0.76560664,0.8158008,0.2370311,0.35834324,0.9993572,0.09157576,0.8263981,0.38598236,0.4443695,1
1.0,0.94709754,0.94987893,0.91504097,0.64782095,0.9281646,0.1511035,0.90814203,0.9802122,0.5167412,0.87460524,0.230947,0.16926748,1
1.0,0.94738716,0.5996108,0.92932063,0.76560664,0.92198676,0.2384162,0.37072688,0.98359096,0.08011776,0.7898286,0.23343605,0.16622438,1
1.0,0.7862511,0.95047927,0.90759414,0.058892846,0.8939015,0.34660405,0.9405987,0.9908883,0.5503829,0.6332381,0.19332798,0.08541503,1
0.9481761,0.7696812,0.95691806,0.986254,0.058892846,0.9843793,0.32757944,0.9351761,0.9911072,0.6823419,0.67637974,0.25375468,0.21523947,1
0.9898342,0.98890716,0.75752753,0.9064036,0.058892846,0.9892818,0.23567897,0.60068333,0.9525861,0.3691874,0.57505715,0.08346635,0.0028816047,1
1.0,0.9724161,0.95158374,0.9363967,0.64782095,0.8186996,0.4274944,0.9305507,0.9893912,0.48307267,0.84104514,0.29565212,0.21661617,1
1.0,0.9734713,0.9437467,0.948308,0.64782095,0.8828422,0.46196008,0.9282755,0.97700286,0.53599876,0.815743,0.29985473,0.14433353,1
1.0,0.9887755,0.9823113,0.7830881,0.76560664,0.8113425,0.31814033,0.9497315,1.0,0.30822474,0.79296255,0.3959738,0.43091348,1
1.0,0.95236015,0.85790235,0.95077807,0.64782095,0.9775072,0.60478765,0.72269094,0.9844623,0.5248958,0.7037339,0.3964024,0.19332364,1
1.0,0.9695464,0.8589618,0.9844553,0.64782095,0.8480298,0.17618042,0.796556,0.99017113,0.32579476,0.7921522,0.29843435,0.16622438,1
1.0,0.9283681,0.93234295,0.95941794,0.76560664,0.9155084,0.48912054,0.9249716,0.99528795,0.5653008,0.78069997,0.36144364,0.40886113,1
1.0,0.964059,0.9519942,0.93461835,0.64782095,0.66764605,0.42514253,0.9312455,0.9918618,0.47590795,0.7637194,0.22496097,0.2976377,1
1.0,0.9875236,0.95067066,0.9430406,0.64782095,0.93054366,0.43695092,0.92868996,0.9892243,0.50544804,0.83516186,0.28270623,0.18624204,1
1.0,0.91442883,0.92758334,0.9999353,0.64782095,0.9786073,0.25932384,0.9113211,0.9958976,0.11852699,0.7702377,0.3064208,0.17290874,1
