EUNIS_Code,EUNIS_Description,Categorical_Bufo,Log_Bufo,Inv_Bufo,Linear_Bufo,Exponential_Bufo,Categorical_Rana,Log_Rana,Inv_Rana,Linear_Rana,Exponential_Rana,Categorical_Lissotriton,Log_Lissotriton,Inv_Lissotriton,Linear_Lissotriton,Exponential_Lissotriton
,,,,,,,,,,,,,,,,
C,Water,,,,,,,,,,,,,,,
D1,Raised and blanket bogs,,,,,,,,,,,,,,,
D2,"Valley mires, poor fens and transition mires",,,,,,,,,,,,,,,
D4,Base-rich fens and calcareous spring mires,,,,,,,,,,,,,,,
E1,Dry grasslands,,,,,,,,,,,,,,,
E2,Mesic grasslands,,,,,,,,,,,,,,,
E3,Seasonally wet and wet grasslands,,,,,,,,,,,,,,,
E4,Alpine and subalpine grasslands,,,,,,,,,,,,,,,
E5,Woodland fringes and clearings and tall forb stands,,,,,,,,,,,,,,,
F2,"Arctic, alpine and subalpine scrub",,,,,,,,,,,,,,,
F3,Temperate and mediterranean-montane scrub,,,,,,,,,,,,,,,
F4,Temperate shrub heathland,,,,,,,,,,,,,,,
F9,Riverine and fen scrubs,,,,,,,,,,,,,,,
G1,Broadleaved deciduous woodland,,,,,,,,,,,,,,,
G3.F,Highly artificial coniferous plantations,,,,,,,,,,,,,,,
G4,Mixed deciduous and coniferous woodland,,,,,,,,,,,,,,,
G5,"Lines of trees, small anthropogenic woodlands, recently felled woodland, early-stage woodland and coppice",,,,,,,,,,,,,,,
H2,Screes,,,,,,,,,,,,,,,
H3,"Inland cliffs, rock pavements and outcrops",,,,,,,,,,,,,,,
I1,Arable land and market gardens,,,,,,,,,,,,,,,
J,Built-up,,,,,,,,,,,,,,,
O,Bare land,,,,,,,,,,,,,,,
OW,Windthrow,,,,,,,,,,,,,,,
A2.5,Coastal saltmarshes,,,,,,,,,,,,,,,
B1,Coastal dunes and sandy shores,,,,,,,,,,,,,,,
B2,Coastal shingle,,,,,,,,,,,,,,,
B3,"Rock cliffs, ledges and shores",,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,
 , ,,,,,,,,,,,,,,,
