x,y,species cloglog values
1.0,1.0,0.12644498
2.0,2.0,0.049702276
3.0,3.0,0.11981871
4.0,4.0,0.24830326
5.0,5.0,0.3023691
6.0,6.0,0.025939059
7.0,7.0,0.04568158
8.0,8.0,0.20447408
9.0,9.0,0.12626764
10.0,10.0,0.04746508
11.0,11.0,0.06299618
12.0,12.0,0.17169303
13.0,13.0,0.21346216
14.0,14.0,0.23482735
15.0,15.0,0.15668562
16.0,16.0,0.94591355
17.0,17.0,0.16897914
18.0,18.0,0.108941056
19.0,19.0,0.05424128
20.0,20.0,0.030849045
21.0,21.0,0.5344902
22.0,22.0,0.23496485
23.0,23.0,0.046912625
24.0,24.0,0.09852707
25.0,25.0,0.24377081
26.0,26.0,0.1960396
27.0,27.0,0.006152606
28.0,28.0,0.6675791
29.0,29.0,0.014679893
30.0,30.0,0.45330808
31.0,31.0,0.65523136
32.0,32.0,0.06878504
33.0,33.0,0.62583935
34.0,34.0,0.27524891
35.0,35.0,0.07143298
36.0,36.0,0.30889717
37.0,37.0,0.7731016
38.0,38.0,0.332013
39.0,39.0,0.018437585
40.0,40.0,0.024416395
41.0,41.0,0.1696872
42.0,42.0,0.5404291
43.0,43.0,0.24111737
44.0,44.0,0.29831508
45.0,45.0,0.020325629
46.0,46.0,0.62469876
47.0,47.0,0.048555106
48.0,48.0,0.8219953
49.0,49.0,3.9785006E-4
50.0,50.0,0.96550965
51.0,51.0,0.15564343
52.0,52.0,0.67330164
53.0,53.0,0.099948406
54.0,54.0,0.055098306
55.0,55.0,0.4121795
56.0,56.0,0.16457152
57.0,57.0,0.0015649535
58.0,58.0,0.34324557
59.0,59.0,0.29807326
60.0,60.0,0.016984131
61.0,61.0,0.107919626
62.0,62.0,0.22095236
63.0,63.0,0.42751834
64.0,64.0,0.066335864
65.0,65.0,0.17701228
66.0,66.0,0.03994117
67.0,67.0,0.093791336
68.0,68.0,0.15913112
69.0,69.0,0.09753532
70.0,70.0,0.39788726
71.0,71.0,0.001970182
72.0,72.0,0.115639724
73.0,73.0,0.09727384
74.0,74.0,0.37088922
75.0,75.0,0.8631692
76.0,76.0,0.19881076
77.0,77.0,0.36584732
78.0,78.0,0.14319573
79.0,79.0,0.059222244
80.0,80.0,0.14121667
81.0,81.0,0.08233494
82.0,82.0,0.09388981
83.0,83.0,0.021156162
84.0,84.0,0.12805346
85.0,85.0,0.5079904
86.0,86.0,0.18890767
87.0,87.0,0.3975883
88.0,88.0,0.041155186
89.0,89.0,0.38759935
90.0,90.0,0.22745173
91.0,91.0,0.057982363
92.0,92.0,0.009726323
93.0,93.0,0.7294309
94.0,94.0,0.044072974
95.0,95.0,0.078528196
96.0,96.0,0.09175967
97.0,97.0,0.20908591
98.0,98.0,0.08858195
99.0,99.0,0.05072225
100.0,100.0,0.032821782
101.0,101.0,0.8509001
102.0,102.0,0.031773727
103.0,103.0,0.15422164
104.0,104.0,0.0023529907
105.0,105.0,0.13164249
106.0,106.0,0.16780166
107.0,107.0,0.03412565
108.0,108.0,0.2106918
109.0,109.0,0.112746775
110.0,110.0,0.3240481
111.0,111.0,0.17653427
112.0,112.0,0.16494149
113.0,113.0,0.76844037
114.0,114.0,0.0022510197
115.0,115.0,0.09815128
116.0,116.0,0.073406756
117.0,117.0,0.028758433
118.0,118.0,0.05770331
119.0,119.0,0.33105686
120.0,120.0,0.55229616
121.0,121.0,0.030019693
122.0,122.0,0.012807135
123.0,123.0,0.71248394
124.0,124.0,0.17836605
