Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
1.96879E-7,0.000019688,0.000379204,1,0,0
2.06562E-7,0.000040344,0.00039785,0.999768786,0,0
2.3093E-7,0.000063437,0.000444775,0.999537572,0,0
2.35783E-7,0.000110574,0.000454118,0.999075145,0,0
3.53321E-7,0.000276615,0.000680421,0.997687861,0,0
4.2734E-7,0.000517774,0.000822907,0.996300578,0,0
6.27945E-7,0.001047822,0.001208968,0.993988439,0,0
1.13406E-6,0.002600452,0.002182313,0.98982659,0,0
1.42793E-6,0.005056377,0.002747051,0.985433526,0,0
1.9549E-6,0.010181754,0.003758923,0.97849711,0,0
2.99764E-6,0.025217755,0.005758132,0.964393064,0,0
4.5816E-6,0.050453667,0.008787345,0.94867052,0,0
6.9297E-6,0.100097426,0.013260945,0.928323699,0,0.010416667
1.01218E-5,0.200981543,0.019310078,0.901040462,0,0.010416667
1.22864E-5,0.300074069,0.023391117,0.880462428,0,0.010416667
1.44438E-5,0.400604208,0.027441642,0.862890173,0.002604167,0.020833333
1.66792E-5,0.50012795,0.031620768,0.848092486,0.002604167,0.020833333
1.84282E-5,0.601585781,0.034878078,0.834682081,0.002604167,0.020833333
2.01207E-5,0.701423603,0.03801964,0.82265896,0.002604167,0.020833333
2.09806E-5,0.750978964,0.039612005,0.817109827,0.002604167,0.020833333
2.18198E-5,0.800355429,0.04116328,0.811791908,0.005208333,0.020833333
2.34861E-5,0.902217929,0.044236389,0.801387283,0.005208333,0.020833333
2.47521E-5,1.001010054,0.04656439,0.791907514,0.0078125,0.020833333
2.5837E-5,1.101960558,0.048554979,0.78265896,0.0078125,0.020833333
2.69056E-5,1.202189113,0.050511614,0.773872832,0.0078125,0.020833333
2.85912E-5,1.302130698,0.053589876,0.765549133,0.0078125,0.020833333
3.00567E-5,1.401534327,0.05625798,0.757687861,0.0078125,0.020833333
3.11495E-5,1.502650697,0.058242607,0.750057803,0.0078125,0.020833333
3.46877E-5,1.752247591,0.064640006,0.732485549,0.0078125,0.020833333
3.77415E-5,2.001776362,0.070126513,0.716531792,0.0078125,0.020833333
4.05721E-5,2.252813607,0.075183346,0.701734104,0.0078125,0.020833333
4.31931E-5,2.500009573,0.079841149,0.688092486,0.010416667,0.020833333
4.62513E-5,2.750602447,0.08524628,0.675144509,0.013020833,0.020833333
4.91402E-5,3.003000547,0.090322967,0.662890173,0.013020833,0.020833333
5.148E-5,3.250146034,0.094414059,0.651560694,0.013020833,0.020833333
5.38055E-5,3.503428174,0.098462023,0.640462428,0.015625,0.020833333
5.61578E-5,3.750428476,0.102538204,0.630057803,0.015625,0.020833333
5.87368E-5,4.003139033,0.10698597,0.619884393,0.015625,0.03125
6.14996E-5,4.255943793,0.111726236,0.61017341,0.015625,0.03125
6.3948E-5,4.500572913,0.115906196,0.601156069,0.018229167,0.03125
6.64292E-5,4.754908864,0.120121888,0.592138728,0.018229167,0.03125
6.83025E-5,5.005290595,0.123291445,0.583583815,0.020833333,0.03125
7.05462E-5,5.255520662,0.127072703,0.575260116,0.020833333,0.03125
7.33732E-5,5.500714307,0.131813811,0.567398844,0.020833333,0.03125
7.53457E-5,5.753628787,0.135106569,0.559537572,0.0234375,0.03125
