x,y,species cloglog values
1.0,1.0,0.06957485
2.0,2.0,0.07240447
3.0,3.0,0.28539994
4.0,4.0,0.076189905
5.0,5.0,0.1106215
6.0,6.0,0.21785837
7.0,7.0,0.029592797
8.0,8.0,0.0031844452
9.0,9.0,0.005086458
10.0,10.0,0.07997395
11.0,11.0,0.047609456
12.0,12.0,0.619274
13.0,13.0,0.013433172
14.0,14.0,0.005880801
15.0,15.0,0.37713674
16.0,16.0,0.93053484
17.0,17.0,0.048319384
18.0,18.0,0.060918476
19.0,19.0,0.5930367
20.0,20.0,0.12115151
21.0,21.0,0.3491684
22.0,22.0,0.65830725
23.0,23.0,0.08792317
24.0,24.0,0.08215288
25.0,25.0,0.08631429
26.0,26.0,0.059709966
27.0,27.0,0.028918719
28.0,28.0,0.110539995
29.0,29.0,0.5157453
30.0,30.0,0.019721007
31.0,31.0,0.514073
32.0,32.0,0.3682723
33.0,33.0,0.159568
34.0,34.0,0.034305595
35.0,35.0,0.27552214
36.0,36.0,0.14887369
37.0,37.0,0.011827547
38.0,38.0,0.022483349
39.0,39.0,0.8712121
40.0,40.0,0.12335098
41.0,41.0,0.049716912
42.0,42.0,0.91910464
43.0,43.0,0.095091276
44.0,44.0,0.0765254
45.0,45.0,0.028922342
46.0,46.0,0.5307782
47.0,47.0,0.10439475
48.0,48.0,0.50785774
49.0,49.0,0.28578293
50.0,50.0,0.37772176
51.0,51.0,0.044072334
52.0,52.0,0.12359789
53.0,53.0,0.08548116
54.0,54.0,0.6030043
55.0,55.0,0.23034948
56.0,56.0,0.10811217
57.0,57.0,0.7180065
58.0,58.0,0.21674606
59.0,59.0,0.21553089
60.0,60.0,0.20564735
61.0,61.0,0.009106766
62.0,62.0,0.009329194
63.0,63.0,0.59819055
64.0,64.0,0.9490623
65.0,65.0,0.2010548
66.0,66.0,0.07793038
67.0,67.0,0.3799744
68.0,68.0,0.31944788
69.0,69.0,0.59218365
70.0,70.0,0.038595594
71.0,71.0,0.3092071
72.0,72.0,0.73368114
73.0,73.0,0.29989126
74.0,74.0,0.91011965
75.0,75.0,0.21970445
76.0,76.0,0.9333276
77.0,77.0,0.12895536
78.0,78.0,0.6087666
79.0,79.0,0.1188267
80.0,80.0,0.04153558
81.0,81.0,0.06859932
82.0,82.0,0.2850995
83.0,83.0,0.024882536
84.0,84.0,0.007854217
85.0,85.0,0.4970234
86.0,86.0,0.3443369
87.0,87.0,0.17586775
88.0,88.0,0.3501067
89.0,89.0,0.17050475
90.0,90.0,0.25082126
91.0,91.0,0.0029656773
92.0,92.0,0.17058967
93.0,93.0,0.14166331
94.0,94.0,0.17491044
95.0,95.0,0.6368774
96.0,96.0,0.6581148
97.0,97.0,0.4303382
98.0,98.0,0.4525076
99.0,99.0,0.11459921
100.0,100.0,0.18860292
101.0,101.0,0.015575965
102.0,102.0,0.39241093
103.0,103.0,0.34740812
104.0,104.0,0.36702913
105.0,105.0,0.0065359827
106.0,106.0,0.058386352
107.0,107.0,0.42679182
108.0,108.0,0.15413235
109.0,109.0,0.14063774
110.0,110.0,0.04796261
111.0,111.0,0.23882824
112.0,112.0,0.09161905
113.0,113.0,0.24277087
114.0,114.0,0.03123792
115.0,115.0,0.047446746
116.0,116.0,0.47512725
117.0,117.0,0.02031773
118.0,118.0,0.21324319
119.0,119.0,0.430289
120.0,120.0,0.00864628
121.0,121.0,0.12356803
122.0,122.0,0.08474711
123.0,123.0,0.0023830838
124.0,124.0,0.18015213
