Raw value,Corresponding cumulative value,Corresponding Cloglog value,Fractional area,Training omission,Test omission
6.61352E-8,0.000006614,0.000074919,1,0,0
1.42603E-7,0.000020874,0.000161536,0.999583854,0,0
2.99872E-7,0.000050861,0.000339656,0.999167707,0,0
6.55133E-7,0.000116374,0.000741901,0.998751561,0,0
1.14612E-6,0.00033717,0.001297553,0.997919268,0,0
1.28924E-6,0.000593339,0.001459466,0.997086975,0,0
1.54951E-6,0.001033034,0.001753848,0.995838535,0,0
2.19976E-6,0.002620659,0.002488924,0.992509363,0,0
2.95608E-6,0.005032051,0.003343239,0.988764045,0,0
3.97705E-6,0.010373412,0.004495325,0.982521848,0,0
6.92265E-6,0.025004644,0.007811749,0.971702039,0,0
9.22999E-6,0.050096656,0.010401853,0.958385352,0,0
1.25118E-5,0.100585554,0.014074169,0.938826467,0,0
1.82901E-5,0.201147225,0.020506978,0.911360799,0,0
2.47557E-5,0.302122905,0.027655207,0.891801914,0,0
2.75049E-5,0.402182964,0.030678891,0.875988348,0,0
3.20102E-5,0.500370385,0.035613551,0.862255514,0,0.023255814
3.49852E-5,0.600659363,0.038858352,0.849771119,0,0.023255814
3.76619E-5,0.702551475,0.041768475,0.838119018,0,0.023255814
3.9228E-5,0.752964593,0.043466986,0.832709114,0,0.023255814
4.00346E-5,0.800597815,0.044340637,0.827715356,0,0.023255814
4.28946E-5,0.904057514,0.047431927,0.817311694,0.005780347,0.023255814
4.4688E-5,1.004387631,0.049365275,0.807740325,0.005780347,0.023255814
4.70533E-5,1.100177639,0.051909207,0.799001248,0.005780347,0.023255814
5.01022E-5,1.202109844,0.055178273,0.790262172,0.005780347,0.046511628
5.24597E-5,1.304930951,0.057698214,0.781939243,0.005780347,0.046511628
5.50815E-5,1.401969901,0.060492917,0.774448606,0.005780347,0.046511628
5.73961E-5,1.503302659,0.062953154,0.766957969,0.005780347,0.046511628
6.24027E-5,1.754211461,0.06825285,0.749479817,0.005780347,0.046511628
6.69268E-5,2.006219535,0.073016045,0.733250104,0.005780347,0.046511628
7.15419E-5,2.256356885,0.077849867,0.718268831,0.005780347,0.046511628
7.52955E-5,2.506756405,0.08176284,0.70411985,0.011560694,0.069767442
7.92089E-5,2.753352014,0.08582473,0.690803163,0.011560694,0.069767442
8.37459E-5,3.006551881,0.09051133,0.677902622,0.011560694,0.069767442
8.82023E-5,3.255714964,0.095091266,0.665834374,0.011560694,0.069767442
9.21767E-5,3.500087945,0.099156448,0.654598419,0.01734104,0.069767442
9.64209E-5,3.754219047,0.10347746,0.643362464,0.023121387,0.069767442
