x,y,species cloglog values
1.0,1.0,0.69480956
2.0,2.0,0.050640084
3.0,3.0,0.14867927
4.0,4.0,0.015576955
5.0,5.0,0.16950227
6.0,6.0,0.12122312
7.0,7.0,0.33574966
8.0,8.0,0.050681595
9.0,9.0,0.13014506
10.0,10.0,0.035471536
11.0,11.0,0.18083443
12.0,12.0,0.068987004
13.0,13.0,0.06910907
14.0,14.0,0.37359363
15.0,15.0,0.22417074
16.0,16.0,0.13492265
17.0,17.0,0.329003
18.0,18.0,0.03495647
19.0,19.0,0.07015474
20.0,20.0,0.051882267
21.0,21.0,0.48597255
22.0,22.0,0.1313324
23.0,23.0,0.29626852
24.0,24.0,0.13749085
25.0,25.0,0.17829335
26.0,26.0,0.6579662
27.0,27.0,0.60814226
28.0,28.0,0.18054216
29.0,29.0,0.6991855
30.0,30.0,0.41482803
31.0,31.0,0.04614096
32.0,32.0,0.03343782
33.0,33.0,0.106993444
34.0,34.0,0.6602007
35.0,35.0,0.19568503
36.0,36.0,0.20354955
37.0,37.0,0.070180394
38.0,38.0,0.3367843
39.0,39.0,0.09408609
40.0,40.0,0.7313928
41.0,41.0,0.54040885
42.0,42.0,0.43611276
43.0,43.0,0.07899487
44.0,44.0,0.12238213
45.0,45.0,0.011471083
46.0,46.0,0.051671553
47.0,47.0,0.391731
48.0,48.0,0.06884302
49.0,49.0,0.35411713
50.0,50.0,0.17423092
51.0,51.0,0.25163457
52.0,52.0,0.539
53.0,53.0,0.4440386
54.0,54.0,0.058716755
55.0,55.0,0.12208195
56.0,56.0,0.06592492
57.0,57.0,0.121577315
58.0,58.0,0.027573293
59.0,59.0,0.32831317
60.0,60.0,0.024016416
61.0,61.0,0.059413
62.0,62.0,0.051634856
63.0,63.0,0.03154878
64.0,64.0,0.26727352
65.0,65.0,0.2107464
66.0,66.0,0.09915929
67.0,67.0,0.42127982
68.0,68.0,0.037913363
69.0,69.0,0.14150631
70.0,70.0,0.14775333
71.0,71.0,0.19437301
72.0,72.0,0.053002473
73.0,73.0,0.027442299
74.0,74.0,0.3705161
75.0,75.0,0.3806496
76.0,76.0,0.14877798
77.0,77.0,0.1774923
78.0,78.0,0.15566273
79.0,79.0,0.19720797
80.0,80.0,0.083677314
81.0,81.0,0.06454132
82.0,82.0,0.13032578
83.0,83.0,0.14934531
84.0,84.0,0.41988444
85.0,85.0,0.057765737
86.0,86.0,0.6736471
87.0,87.0,0.21840443
88.0,88.0,0.2506745
89.0,89.0,0.2807727
90.0,90.0,0.10220397
91.0,91.0,0.4907605
92.0,92.0,0.34044582
93.0,93.0,0.06101461
94.0,94.0,0.022419358
95.0,95.0,0.14345483
96.0,96.0,0.071438886
97.0,97.0,0.14822702
98.0,98.0,0.027703222
99.0,99.0,0.034430765
100.0,100.0,0.65661335
101.0,101.0,0.25654557
102.0,102.0,0.61048245
103.0,103.0,0.027453188
104.0,104.0,0.16477886
105.0,105.0,0.14470296
106.0,106.0,0.073794104
107.0,107.0,0.19584145
108.0,108.0,0.22905646
109.0,109.0,0.17686714
110.0,110.0,0.06791814
111.0,111.0,0.3519243
